time,y/d
0.0,0.0
0.0010000000000000002,4.194898872155908e-08
0.0020000000000000005,1.6348013564502617e-07
0.003,3.5181182677313417e-07
0.003999999999999999,5.863822517622015e-07
0.004999999999999999,8.40155609788287e-07
0.006000000000000001,1.0814914704898357e-06
0.007000000000000003,1.2764735146171489e-06
0.008000000000000004,1.3915582009647944e-06
0.009000000000000005,1.3963753201202367e-06
0.010000000000000007,1.2664929971215575e-06
0.011000000000000008,9.85951247338273e-07
0.012000000000000009,5.493719303152196e-07
0.013000000000000012,-3.6530535486253046e-08
0.014000000000000012,-7.52184305660539e-07
0.015000000000000015,-1.5652473709950758e-06
0.016000000000000018,-2.4316037238398495e-06
0.01700000000000002,-3.2972693948685865e-06
0.018000000000000016,-4.1011505320477035e-06
0.01900000000000001,-4.778537390164548e-06
0.02,-5.265163641191496e-06
0.020999999999999994,-5.501612903946687e-06
0.021999999999999985,-5.437816661610147e-06
0.022999999999999975,-5.037362415723497e-06
0.02399999999999997,-4.281320455538342e-06
0.02499999999999996,-3.171304130063304e-06
0.02599999999999995,-1.7315034937107908e-06
0.026999999999999944,-9.476053530453143e-09
0.027999999999999935,1.924460086768369e-06
0.02899999999999993,3.979309087866342e-06
0.02999999999999992,6.046948245898246e-06
0.03099999999999991,8.007048116543867e-06
0.031999999999999904,9.733173954862406e-06
0.0329999999999999,1.1099798241318444e-05
0.033999999999999884,1.1989882809497922e-05
0.03499999999999988,1.230263189057174e-05
0.03599999999999987,1.196097665922287e-05
0.03699999999999986,1.091833017484389e-05
0.03799999999999985,9.164152232041857e-06
0.03899999999999985,6.72789046095753e-06
0.039999999999999834,3.680920640261817e-06
0.04099999999999983,1.361972524721168e-07
0.04199999999999982,-3.754557237393462e-06
0.042999999999999816,-7.806155863827544e-06
0.0439999999999998,-1.1807623338274288e-05
0.0449999999999998,-1.5531974968200125e-05
0.04599999999999979,-1.8747692241072785e-05
0.04699999999999978,-2.1231374812379945e-05
0.04799999999999977,-2.2780959410657662e-05
0.048999999999999766,-2.3228830820577637e-05
0.04999999999999975,-2.2454106395949958e-05
0.05099999999999975,-2.0393353775363635e-05
0.05199999999999974,-1.7049007223035526e-05
0.05299999999999973,-1.249479258491214e-05
0.05399999999999972,-6.877568149835459e-06
0.054999999999999716,-4.1514893773113196e-07
0.05599999999999971,6.610095962863503e-06
0.0569999999999997,1.3861816642016429e-05
0.05799999999999969,2.096409019698963e-05
0.058999999999999685,2.751907171713393e-05
0.05999999999999967,3.312709516358682e-05
0.060999999999999666,3.740829380386097e-05
